name,street_address,type,reviews,no_of_reviews,comments,price_range,type1,type2,type3,city,state,description,weighted_ratings,text_preprocessed
grappa '72 ristorante,818 central ave," italian, vegan options, vegetarian friendly",4.5,362,"friends raved about this place.  we must have hit a bad night as things were just not right in many ways.  the wait staff tries hard, but must be coached to serve the ladies first, take their orders first, etc.  the water person did a...more",2.0,italian,vegan options,vegetarian friendly,albany,ny," italian, vegan options, vegetarian friendly friends raved about this place.  we must have hit a bad night as things were just not right in many ways.  the wait staff tries hard, but must be coached to serve the ladies first, take their orders first, etc.  the water person did a...more",1629.0,italian vegan option vegetarian friendly friend raved place must hit bad night thing right many way wait staff try hard must coached serve lady first take order first etc water person amore
hula grill,940 boardwalk," american, seafood, polynesian",4.5,340,"we stop by hulas every time we come to oc. great food, fair prices, large portions. this place probably has the best food on the boardwalk. the only complaint i have is that there aren't more of them around. highly recommend the chicken platter",2.0,american,seafood,polynesian,ocean city,nj," american, seafood, polynesian we stop by hulas every time we come to oc. great food, fair prices, large portions. this place probably has the best food on the boardwalk. the only complaint i have is that there aren't more of them around. highly recommend the chicken platter",1530.0,american seafood polynesian stop hula every time come oc great food fair price large portion place probably best food boardwalk complaint arent around highly recommend chicken platter
rodeo goat,1926 market center blvd," american, bar, vegetarian friendly",4.5,837,"take the budaciuos! the best burger in the world, the mix of the delicious jalapeños and burger and cheese and bacon omg!",2.0,american,bar,vegetarian friendly,dallas,tx," american, bar, vegetarian friendly take the budaciuos! the best burger in the world, the mix of the delicious jalapeños and burger and cheese and bacon omg!",3766.5,american bar vegetarian friendly take budaciuos best burger world mix delicious jalapeños burger cheese bacon omg
norma,438 3rd ave," italian, pizza, mediterranean",4.5,204,"food--wow very sicilian, prices fair
service--friendly, efficient, genuine
ambience--nice layout despite small space

more italian heard here than most

make sure you stop by if in the area",2.0,italian,pizza,mediterranean,new york city,ny," italian, pizza, mediterranean food--wow very sicilian, prices fair
service--friendly, efficient, genuine
ambience--nice layout despite small space

more italian heard here than most

make sure you stop by if in the area",918.0,italian pizza mediterranean foodwow sicilian price fair servicefriendly efficient genuine ambiencenice layout despite small space italian heard make sure stop area
italian garden,1215 avenue j," italian, pizza, vegetarian friendly",4.5,276,"i enjoyed their spaghetti, but the pink sauce ravioli tasted more like the ravioli was stuffed with canned tuna....anyway,  very bland and not anything i would ever order again.  
they do accept reservations for large groups, but not for 2 or 4 people.  
i do...more",2.0,italian,pizza,vegetarian friendly,lubbock,tx," italian, pizza, vegetarian friendly i enjoyed their spaghetti, but the pink sauce ravioli tasted more like the ravioli was stuffed with canned tuna....anyway,  very bland and not anything i would ever order again.  
they do accept reservations for large groups, but not for 2 or 4 people.  
i do...more",1242.0,italian pizza vegetarian friendly enjoyed spaghetti pink sauce ravioli tasted like ravioli stuffed canned tunaanyway bland anything would ever order accept reservation large group people domore
mac's bar & grill,6077 w interstate 20," american, bar, vegetarian friendly",4.0,160,"excellent food, good selection, at many price ranges.  friendly, helpful waitstaff. the dining room is a little noisy when full.",2.0,american,bar,vegetarian friendly,arlington,tx," american, bar, vegetarian friendly excellent food, good selection, at many price ranges.  friendly, helpful waitstaff. the dining room is a little noisy when full.",640.0,american bar vegetarian friendly excellent food good selection many price range friendly helpful waitstaff dining room little noisy full
salty's on the columbia river,3839 ne marine dr," american, seafood, vegetarian friendly",4.5,1140,great views. service was excellent.  the food was high quality and fresh.  we want on valentines day so there was a condensed menu but it was still great.,3.0,american,seafood,vegetarian friendly,portland,or," american, seafood, vegetarian friendly great views. service was excellent.  the food was high quality and fresh.  we want on valentines day so there was a condensed menu but it was still great.",5130.0,american seafood vegetarian friendly great view service excellent food high quality fresh want valentine day condensed menu still great
kitty hoynes irish pub & restaurant,301 w fayette st," bar, american, irish",4.5,659,"we recently stayed in armory square while visiting our son at syracuse university.  my wife and i and some friends drove up for a basketball game, and kitty hoynes was directly across the street from our hotel.  it proved to be the perfect place to...more",2.0,bar,american,irish,syracuse,ny," bar, american, irish we recently stayed in armory square while visiting our son at syracuse university.  my wife and i and some friends drove up for a basketball game, and kitty hoynes was directly across the street from our hotel.  it proved to be the perfect place to...more",2965.5,bar american irish recently stayed armory square visiting son syracuse university wife friend drove basketball game kitty hoynes directly across street hotel proved perfect place tomore
tick tock diner nj,281 allwood rd," american, diner, vegetarian friendly",3.5,434,went for lunch with a friend. had not been back since the redo.  place is clean. service was great.  lunch portions were so large we took to go bags with at least half of our sandwiches.,2.0,american,diner,vegetarian friendly,clifton,nj," american, diner, vegetarian friendly went for lunch with a friend. had not been back since the redo.  place is clean. service was great.  lunch portions were so large we took to go bags with at least half of our sandwiches.",1519.0,american diner vegetarian friendly went lunch friend back since redo place clean service great lunch portion large took go bag least half sandwich
wild sage american bistro,916 w 2nd ave," american, fusion, vegetarian friendly",4.5,972,"a super nice restaurant for special occasions, this is one of our top favorites in the greater spokane area.  

the specials included flank steak which had a scrumptious marinade and rested on a bed of yukon potatoes and dressed arugula.  unbelievable taste!!  the wild sage...more",3.0,american,fusion,vegetarian friendly,spokane,wa," american, fusion, vegetarian friendly a super nice restaurant for special occasions, this is one of our top favorites in the greater spokane area.  

the specials included flank steak which had a scrumptious marinade and rested on a bed of yukon potatoes and dressed arugula.  unbelievable taste!!  the wild sage...more",4374.0,american fusion vegetarian friendly super nice restaurant special occasion one top favorite greater spokane area special included flank steak scrumptious marinade rested bed yukon potato dressed arugula unbelievable taste wild sagemore
filippo's famous pizza,336 george st," italian, pizza, vegetarian friendly",4.0,36,"by all accounts, this is a standard pizza restaurant. it's clean, pleasant and roomy. but what sets it apart is the quality of the pizzas, which are outstanding.",1.0,italian,pizza,vegetarian friendly,new brunswick,nj," italian, pizza, vegetarian friendly by all accounts, this is a standard pizza restaurant. it's clean, pleasant and roomy. but what sets it apart is the quality of the pizzas, which are outstanding.",144.0,italian pizza vegetarian friendly account standard pizza restaurant clean pleasant roomy set apart quality pizza outstanding
olive garden,1277 hooper ave," italian, vegetarian friendly, vegan options",4.0,97,"always dependable, the chicken and shrimp carbonara was super
so was the gorgonzola and the pasta with 3 cheeses.",2.0,italian,vegetarian friendly,vegan options,toms river,nj," italian, vegetarian friendly, vegan options always dependable, the chicken and shrimp carbonara was super
so was the gorgonzola and the pasta with 3 cheeses.",388.0,italian vegetarian friendly vegan option always dependable chicken shrimp carbonara super gorgonzola pasta cheese
jimmy changas,300 westgreen blvd," mexican, vegetarian friendly, vegan options",4.0,267,"food was fresh and flavorful.  i had the fish tacos (i don't get them at home), and thoroughly loved every bit.  the chips and salsa were good, as was the salsa con queso (we americans mistakenly just call it ""queso."")  clean and festive, this is...more",2.0,mexican,vegetarian friendly,vegan options,katy,tx," mexican, vegetarian friendly, vegan options food was fresh and flavorful.  i had the fish tacos (i don't get them at home), and thoroughly loved every bit.  the chips and salsa were good, as was the salsa con queso (we americans mistakenly just call it ""queso."")  clean and festive, this is...more",1068.0,mexican vegetarian friendly vegan option food fresh flavorful fish taco dont get home thoroughly loved every bit chip salsa good salsa con queso american mistakenly call queso clean festive ismore
cask & trotter / lynnwood,18411 highway 99," american, bar, barbecue",4.0,38,this restaurant is very shop worn and dirty. service slow but acceptable. we had a poorly executed wedge salad (really just a low cost blue cheese dressing and iceberg lettuce) and mediocre (at best) hamburger. even for lynnwood this place is below average. poor food...more,2.0,american,bar,barbecue,lynnwood,wa," american, bar, barbecue this restaurant is very shop worn and dirty. service slow but acceptable. we had a poorly executed wedge salad (really just a low cost blue cheese dressing and iceberg lettuce) and mediocre (at best) hamburger. even for lynnwood this place is below average. poor food...more",152.0,american bar barbecue restaurant shop worn dirty service slow acceptable poorly executed wedge salad really low cost blue cheese dressing iceberg lettuce mediocre best hamburger even lynnwood place average poor foodmore
grand lux cafe,2000 route 38 ste 1072," american, bar, vegetarian friendly",4.0,242,do not go to the grand lux cafe if you have a gluten allergy or any other type of allergy!!! grossly incompetent!! they are liars!!! not safe!!! my six year old son has celiac disease. prior to going there we called to check if was...more,2.0,american,bar,vegetarian friendly,cherry hill,nj," american, bar, vegetarian friendly do not go to the grand lux cafe if you have a gluten allergy or any other type of allergy!!! grossly incompetent!! they are liars!!! not safe!!! my six year old son has celiac disease. prior to going there we called to check if was...more",968.0,american bar vegetarian friendly go grand lux cafe gluten allergy type allergy grossly incompetent liar safe six year old son celiac disease prior going called check wasmore
the grange bar & eatery,1635 amsterdam ave," american, bar, vegetarian friendly",4.5,190,"i went at the grange bar with friends in a cold night of january for a snack. we had tartare, french onion soup and roasted cauliflower. for dessert we had a superlative bread pudding. this place in west harlem is very nice and friendly, ingredients...more",2.0,american,bar,vegetarian friendly,new york city,ny," american, bar, vegetarian friendly i went at the grange bar with friends in a cold night of january for a snack. we had tartare, french onion soup and roasted cauliflower. for dessert we had a superlative bread pudding. this place in west harlem is very nice and friendly, ingredients...more",855.0,american bar vegetarian friendly went grange bar friend cold night january snack tartare french onion soup roasted cauliflower dessert superlative bread pudding place west harlem nice friendly ingredientsmore
da vinci ristorante italiano,6455 s fry rd," italian, vegetarian friendly, vegan options",4.5,374,"we have eaten at da vinci numerous times over many years and have never been disappointed.

the food and the service are both consistently good. the food and wine menu selections are varied and if you like seafood you can’t go wrong. the meat dishes,...more",3.0,italian,vegetarian friendly,vegan options,katy,tx," italian, vegetarian friendly, vegan options we have eaten at da vinci numerous times over many years and have never been disappointed.

the food and the service are both consistently good. the food and wine menu selections are varied and if you like seafood you can’t go wrong. the meat dishes,...more",1683.0,italian vegetarian friendly vegan option eaten da vinci numerous time many year never disappointed food service consistently good food wine menu selection varied like seafood cant go wrong meat dishesmore
tre pizza pasta beer garden,611 park ave," italian, bar, pizza",4.0,101,"if you are down the jersey shore and need a great place to eat food is just terrifc and staff and people are outstanding , friendly good service . good family atmosphere",2.0,italian,bar,pizza,freehold,nj," italian, bar, pizza if you are down the jersey shore and need a great place to eat food is just terrifc and staff and people are outstanding , friendly good service . good family atmosphere",404.0,italian bar pizza jersey shore need great place eat food terrifc staff people outstanding friendly good service good family atmosphere
taverna kyclades,3307 ditmars blvd," seafood, mediterranean, greek",4.5,766,"this has been our favorite restaurant, since we discovered it. the food is always delicious and the service is great.",2.0,seafood,mediterranean,greek,astoria,ny," seafood, mediterranean, greek this has been our favorite restaurant, since we discovered it. the food is always delicious and the service is great.",3447.0,seafood mediterranean greek favorite restaurant since discovered food always delicious service great
p.f. chang's,2801 pacific ave unit 101," chinese, asian, vegan options",4.0,541,"i come here often and the key to success for local restaurants is consistency. that’s what you get when you come here. i’ve had the mandarin crunch salad* with 
julienned vegetables, cabbage, mango, almonds, rice sticks, mandarin vinaigrette numerous times. each time just as great...more",2.0,chinese,asian,vegan options,atlantic city,nj," chinese, asian, vegan options i come here often and the key to success for local restaurants is consistency. that’s what you get when you come here. i’ve had the mandarin crunch salad* with 
julienned vegetables, cabbage, mango, almonds, rice sticks, mandarin vinaigrette numerous times. each time just as great...more",2164.0,chinese asian vegan option come often key success local restaurant consistency thats get come ive mandarin crunch salad julienned vegetable cabbage mango almond rice stick mandarin vinaigrette numerous time time greatmore
maggiano's little italy,70 riverside sq mall," italian, vegetarian friendly, vegan options",4.0,241,"this place is fair for italian food. this is one step above olive garden which is a disaster. the service is good , the food is just ehhh.",2.0,italian,vegetarian friendly,vegan options,hackensack,nj," italian, vegetarian friendly, vegan options this place is fair for italian food. this is one step above olive garden which is a disaster. the service is good , the food is just ehhh.",964.0,italian vegetarian friendly vegan option place fair italian food one step olive garden disaster service good food ehhh
the plaza restaurant,5029 milwaukee ave," mexican, southwestern, vegetarian friendly",4.5,140,"when we arrived at the plaza restaurant i was surprised at how large it is.  yet the ambiance inside didn't feel like a large chain diner.  the food was very good, especially the sour cream sauce.  yum!  price was good; atmosphere was good;  and food...more",2.0,mexican,southwestern,vegetarian friendly,lubbock,tx," mexican, southwestern, vegetarian friendly when we arrived at the plaza restaurant i was surprised at how large it is.  yet the ambiance inside didn't feel like a large chain diner.  the food was very good, especially the sour cream sauce.  yum!  price was good; atmosphere was good;  and food...more",630.0,mexican southwestern vegetarian friendly arrived plaza restaurant surprised large yet ambiance inside didnt feel like large chain diner food good especially sour cream sauce yum price good atmosphere good foodmore
rincon criollo,4009 junction blvd," caribbean, latin, spanish",4.5,125,"my husband and saw this restaurant on an episode of diners, dives and drive in's.  we decided to try it out to see if it was a good as guy fieri described.  the food was good i expected portions to be a little bigger. the...more",2.0,caribbean,latin,spanish,corona,ny," caribbean, latin, spanish my husband and saw this restaurant on an episode of diners, dives and drive in's.  we decided to try it out to see if it was a good as guy fieri described.  the food was good i expected portions to be a little bigger. the...more",562.5,caribbean latin spanish husband saw restaurant episode diner dive drive in decided try see good guy fieri described food good expected portion little bigger themore
5th avenue sandwich shop,117 5th ave se," american, soups, vegetarian friendly",4.5,353,this place has the best egg salad sandwiches. plus if you ask they will add pickles! their pies are also homemade and i can recommend anything with chocolate,2.0,american,soups,vegetarian friendly,olympia,wa," american, soups, vegetarian friendly this place has the best egg salad sandwiches. plus if you ask they will add pickles! their pies are also homemade and i can recommend anything with chocolate",1588.5,american soup vegetarian friendly place best egg salad sandwich plus ask add pickle pie also homemade recommend anything chocolate
lil' jon,3080 148th ave se," american, diner, vegetarian friendly",4.0,193,"had dinner here. thefty were out of the soup of the day, which i was liking forward to the salad was ordinary - just bag salad with a few croutons. i had chicken strips and my husband had a pork chop.  we both had mashed...more",1.0,american,diner,vegetarian friendly,bellevue,wa," american, diner, vegetarian friendly had dinner here. thefty were out of the soup of the day, which i was liking forward to the salad was ordinary - just bag salad with a few croutons. i had chicken strips and my husband had a pork chop.  we both had mashed...more",772.0,american diner vegetarian friendly dinner thefty soup day liking forward salad ordinary bag salad crouton chicken strip husband pork chop mashedmore
la fiesta restaurant & cantina,3815 franklin ave," mexican, southwestern, vegetarian friendly",4.0,163,i had a chimichanga meal with beef for a change. it was the best tasting meal. of course their house margarita was delicious too. great meal for girls' night out!,2.0,mexican,southwestern,vegetarian friendly,waco,tx," mexican, southwestern, vegetarian friendly i had a chimichanga meal with beef for a change. it was the best tasting meal. of course their house margarita was delicious too. great meal for girls' night out!",652.0,mexican southwestern vegetarian friendly chimichanga meal beef change best tasting meal course house margarita delicious great meal girl night
kabob house - yakima,2706 w nob hill blvd," mediterranean, greek, vegetarian friendly",4.0,39,excellent mediterranean cuisine nice small menu. quiet casual clean environment.friendly staff great service .,2.0,mediterranean,greek,vegetarian friendly,yakima,wa," mediterranean, greek, vegetarian friendly excellent mediterranean cuisine nice small menu. quiet casual clean environment.friendly staff great service .",156.0,mediterranean greek vegetarian friendly excellent mediterranean cuisine nice small menu quiet casual clean environmentfriendly staff great service
twisted root burger co.,730 e campbell rd," american, bar, vegetarian friendly",4.5,248,"firstly, the menu is just awesome. this was my first time having the ability to choose between a buffalo burger with a fried egg, or a chickpea burger with pickled onions. so after loving the first, i came back the next day for the second!...more",2.0,american,bar,vegetarian friendly,richardson,tx," american, bar, vegetarian friendly firstly, the menu is just awesome. this was my first time having the ability to choose between a buffalo burger with a fried egg, or a chickpea burger with pickled onions. so after loving the first, i came back the next day for the second!...more",1116.0,american bar vegetarian friendly firstly menu awesome first time ability choose buffalo burger fried egg chickpea burger pickled onion loving first came back next day secondmore
olde bryan inn,123 maple ave," brew pub, barbecue, british",4.5,1454,a friend and i went for an overnight get-a-way and decided on the olde bryan inn for dinner.  we sat in the bar area and enjoyed the cozy fire and delcious homemade saratoga pub chips.  i had the ahi tuna appetizer and it was fresh...more,2.0,brew pub,barbecue,british,saratoga springs,ny," brew pub, barbecue, british a friend and i went for an overnight get-a-way and decided on the olde bryan inn for dinner.  we sat in the bar area and enjoyed the cozy fire and delcious homemade saratoga pub chips.  i had the ahi tuna appetizer and it was fresh...more",6543.0,brew pub barbecue british friend went overnight getaway decided olde bryan inn dinner sat bar area enjoyed cozy fire delcious homemade saratoga pub chip ahi tuna appetizer freshmore
p.c.'s paddock restaurant,273 titusville rd," american, bar, vegetarian friendly",4.5,260,went on a busy new years eve (2020) . they were very busy and service was a little spotty but the specals were plentiful and very good. enough for left overs the next day. would go there again.,2.0,american,bar,vegetarian friendly,poughkeepsie,ny," american, bar, vegetarian friendly went on a busy new years eve (2020) . they were very busy and service was a little spotty but the specals were plentiful and very good. enough for left overs the next day. would go there again.",1170.0,american bar vegetarian friendly went busy new year eve busy service little spotty specals plentiful good enough left over next day would go
tastee sub shop,267 plainfield ave," american, fast food, deli",4.5,247,it was the same as 35  years ago  .they are truly  the best subs  i ever had. sorry  to hear that pat  passed on,1.0,american,fast food,deli,edison,nj," american, fast food, deli it was the same as 35  years ago  .they are truly  the best subs  i ever had. sorry  to hear that pat  passed on",1111.5,american fast food deli year ago truly best sub ever sorry hear pat passed
crust pizza co.,4775 w panther creek dr," italian, pizza, vegetarian friendly",4.5,233,"i love crust pizza. my favorite pizza is the tuscan. it’s all vegetables & cheese, so i usually have them add chicken. they have an excellent selection of pizza, sandwiches, and salads. great place for families, too.",2.0,italian,pizza,vegetarian friendly,spring,tx," italian, pizza, vegetarian friendly i love crust pizza. my favorite pizza is the tuscan. it’s all vegetables & cheese, so i usually have them add chicken. they have an excellent selection of pizza, sandwiches, and salads. great place for families, too.",1048.5,italian pizza vegetarian friendly love crust pizza favorite pizza tuscan vegetable cheese usually add chicken excellent selection pizza sandwich salad great place family
hana sushi,10114 main st," japanese, sushi, asian",4.5,47,"we have a japanese student staying with us. we were celebrating her birthday by taking her out to dinner. she was missing her home food. we took her to hana sushi, in bothell, for that dinner. she was very happy and excited to have some...more",2.0,japanese,sushi,asian,bothell,wa," japanese, sushi, asian we have a japanese student staying with us. we were celebrating her birthday by taking her out to dinner. she was missing her home food. we took her to hana sushi, in bothell, for that dinner. she was very happy and excited to have some...more",211.5,japanese sushi asian japanese student staying u celebrating birthday taking dinner missing home food took hana sushi bothell dinner happy excited somemore
spadafora's down east restaurant,9th & atlantic ave," american, seafood, gluten free options",4.0,340,it’s been here practically forever.  great food nice seashore atmosphere with a super frielndly staff.,2.0,american,seafood,gluten free options,ocean city,nj," american, seafood, gluten free options it’s been here practically forever.  great food nice seashore atmosphere with a super frielndly staff.",1360.0,american seafood gluten free option practically forever great food nice seashore atmosphere super frielndly staff
andalous mediterranean grill,457 e interstate 20," mediterranean, middle eastern, lebanese",4.5,86,"i had a gyro and greek salad.  the salad was the best greek salad i ever had.  the gryo was cold,not so tasty and i was expecting the pickles.  i like the pickles just not on my gyro.  other menu items looked good.  worth a...more",2.0,mediterranean,middle eastern,lebanese,arlington,tx," mediterranean, middle eastern, lebanese i had a gyro and greek salad.  the salad was the best greek salad i ever had.  the gryo was cold,not so tasty and i was expecting the pickles.  i like the pickles just not on my gyro.  other menu items looked good.  worth a...more",387.0,mediterranean middle eastern lebanese gyro greek salad salad best greek salad ever gryo coldnot tasty expecting pickle like pickle gyro menu item looked good worth amore
the new mexicans,1416 hewitt ave," mexican, southwestern, american",4.0,97,"my son-in-law eats here frequently and loves it as do my grandchildren. the staff is friendly.

i thought the stack dish i had was tasty.  the beer was good.

they should get different tables.  ones that could provide flexibility in seating arrangements.",2.0,mexican,southwestern,american,everett,wa," mexican, southwestern, american my son-in-law eats here frequently and loves it as do my grandchildren. the staff is friendly.

i thought the stack dish i had was tasty.  the beer was good.

they should get different tables.  ones that could provide flexibility in seating arrangements.",388.0,mexican southwestern american soninlaw eats frequently love grandchild staff friendly thought stack dish tasty beer good get different table one could provide flexibility seating arrangement
izakaya in borgata hotel,1 borgata way," japanese, sushi, asian",4.0,425,each time we dine here is just amazing. i highly recommend their monday specials- you will not be disappointed.,3.0,japanese,sushi,asian,atlantic city,nj," japanese, sushi, asian each time we dine here is just amazing. i highly recommend their monday specials- you will not be disappointed.",1700.0,japanese sushi asian time dine amazing highly recommend monday special disappointed
champs diner,197 meserole st," american, diner, vegetarian friendly",4.5,198,"the food doesn’t seem vegan — carnivore friends would feel comfortable!  mine did!  i had the breakfast plate with tofu scramble, bacon, sausage, hash browns, and pancakes.  the pancakes were light & fluffy.  i also had a milkshake that was delicious!  the hash browns could...more",2.0,american,diner,vegetarian friendly,brooklyn,ny," american, diner, vegetarian friendly the food doesn’t seem vegan — carnivore friends would feel comfortable!  mine did!  i had the breakfast plate with tofu scramble, bacon, sausage, hash browns, and pancakes.  the pancakes were light & fluffy.  i also had a milkshake that was delicious!  the hash browns could...more",891.0,american diner vegetarian friendly food doesnt seem vegan carnivore friend would feel comfortable mine breakfast plate tofu scramble bacon sausage hash brown pancake pancake light fluffy also milkshake delicious hash brown couldmore
marzano's restaurant,516 garfield st s," italian, vegetarian friendly, vegan options",4.5,321,"marzano's is the best place to have a great meal, enjoy great companionship in a beautiful environment with wonderful service. my friends and i love coming here. they offer creative and great tasting specials every day but you can always enjoy one of the regulars...more",2.0,italian,vegetarian friendly,vegan options,tacoma,wa," italian, vegetarian friendly, vegan options marzano's is the best place to have a great meal, enjoy great companionship in a beautiful environment with wonderful service. my friends and i love coming here. they offer creative and great tasting specials every day but you can always enjoy one of the regulars...more",1444.5,italian vegetarian friendly vegan option marzanos best place great meal enjoy great companionship beautiful environment wonderful service friend love coming offer creative great tasting special every day always enjoy one regularsmore
the cheesecake factory,140 market st," american, vegetarian friendly, vegan options",3.5,227,"we came last night for a family dinner and the place was empty so, we were seated promptly at a booth.
starters fried calamari & spinach dip was shared.

grilled ny steak, rib eye, carme asada, shrimp & pasta, were our order..
the steaks looked...more",2.0,american,vegetarian friendly,vegan options,yonkers,ny," american, vegetarian friendly, vegan options we came last night for a family dinner and the place was empty so, we were seated promptly at a booth.
starters fried calamari & spinach dip was shared.

grilled ny steak, rib eye, carme asada, shrimp & pasta, were our order..
the steaks looked...more",794.5,american vegetarian friendly vegan option came last night family dinner place empty seated promptly booth starter fried calamari spinach dip shared grilled ny steak rib eye carme asada shrimp pasta order steak lookedmore
jacob restaurant,373 lennox avenue," american, vegetarian friendly, vegan options",4.5,112,"the cashiers and other workers are very pleasant. the food is tasty also. if you like 70's music, the live band will have you singing and patting your feet, while you pile your plate with tasty food.",1.0,american,vegetarian friendly,vegan options,new york city,ny," american, vegetarian friendly, vegan options the cashiers and other workers are very pleasant. the food is tasty also. if you like 70's music, the live band will have you singing and patting your feet, while you pile your plate with tasty food.",504.0,american vegetarian friendly vegan option cashier worker pleasant food tasty also like music live band singing patting foot pile plate tasty food
aki sushi,321 n columbia center blvd," japanese, sushi, asian",4.5,38,we went here on a recommendation of a friend and were pleasantly surprised. the food was fabulous with generous portions and the prices were very reasonable. the service was quick and excellent. this will definitely be our new go to place for lunch.,2.0,japanese,sushi,asian,kennewick,wa," japanese, sushi, asian we went here on a recommendation of a friend and were pleasantly surprised. the food was fabulous with generous portions and the prices were very reasonable. the service was quick and excellent. this will definitely be our new go to place for lunch.",171.0,japanese sushi asian went recommendation friend pleasantly surprised food fabulous generous portion price reasonable service quick excellent definitely new go place lunch
lecosho,89 university st," american, vegetarian friendly, gluten free options",4.5,379,"i didn’t get a sense of this place with the odd name.  for lack of any definitive impression, i’ll give lecosho 4 stars.  i had the catfish special for lunch.  all i could taste was hot sauce.  the fish had no flavor.  everything was overwhelmed...more",2.0,american,vegetarian friendly,gluten free options,seattle,wa," american, vegetarian friendly, gluten free options i didn’t get a sense of this place with the odd name.  for lack of any definitive impression, i’ll give lecosho 4 stars.  i had the catfish special for lunch.  all i could taste was hot sauce.  the fish had no flavor.  everything was overwhelmed...more",1705.5,american vegetarian friendly gluten free option didnt get sense place odd name lack definitive impression ill give lecosho star catfish special lunch could taste hot sauce fish flavor everything overwhelmedmore
sandbox cafe,2604 long beach blvd," american, vegetarian friendly, vegan options",4.5,214,"excellent breakfast, we were staying with a friend in cape may and she stated that we had to try the sandbox - it was amazing, fresh food and so many choices parking tough, service excellent and the food outstanding",2.0,american,vegetarian friendly,vegan options,"ship bottom, long beach island",nj," american, vegetarian friendly, vegan options excellent breakfast, we were staying with a friend in cape may and she stated that we had to try the sandbox - it was amazing, fresh food and so many choices parking tough, service excellent and the food outstanding",963.0,american vegetarian friendly vegan option excellent breakfast staying friend cape may stated try sandbox amazing fresh food many choice parking tough service excellent food outstanding
pizza one,1483 state route 23," pizza, italian, vegetarian friendly",4.5,49,we loved pizza one. recently some of our favorites were removed from the menu and the shrimp have shrunk. thinking of finding another place.,1.0,pizza,italian,vegetarian friendly,wayne,nj," pizza, italian, vegetarian friendly we loved pizza one. recently some of our favorites were removed from the menu and the shrimp have shrunk. thinking of finding another place.",220.5,pizza italian vegetarian friendly loved pizza one recently favorite removed menu shrimp shrunk thinking finding another place
rabbithole,352 bedford ave," american, healthy, vegetarian friendly",4.5,270,i went here for the second time.  my daughter lives near it.   the menu changes regularly and the food is all good.,2.0,american,healthy,vegetarian friendly,brooklyn,ny," american, healthy, vegetarian friendly i went here for the second time.  my daughter lives near it.   the menu changes regularly and the food is all good.",1215.0,american healthy vegetarian friendly went second time daughter life near menu change regularly food good
downriver grill,3315 w northwest blvd," american, vegetarian friendly, gluten free options",4.5,179,"this was the least favorite of the 3 dinner restaurants that i went to during my spokane visit this week.

don’t get me wrong, the food was ok but not spectacular. service was incredibly friendly but lacking in timeliness and visits.

i ordered the steamed...more",2.0,american,vegetarian friendly,gluten free options,spokane,wa," american, vegetarian friendly, gluten free options this was the least favorite of the 3 dinner restaurants that i went to during my spokane visit this week.

don’t get me wrong, the food was ok but not spectacular. service was incredibly friendly but lacking in timeliness and visits.

i ordered the steamed...more",805.5,american vegetarian friendly gluten free option least favorite dinner restaurant went spokane visit week dont get wrong food ok spectacular service incredibly friendly lacking timeliness visit ordered steamedmore
the georgian,411 university st," american, vegetarian friendly, vegan options",4.5,370,my wife and i visited the georgian for breakfast at 11 am on a monday. the restaurant was busy and we were greeted by our server 10 minutes after being seated. my wife is vegan and the only option for her was a side of...more,3.0,american,vegetarian friendly,vegan options,seattle,wa," american, vegetarian friendly, vegan options my wife and i visited the georgian for breakfast at 11 am on a monday. the restaurant was busy and we were greeted by our server 10 minutes after being seated. my wife is vegan and the only option for her was a side of...more",1665.0,american vegetarian friendly vegan option wife visited georgian breakfast monday restaurant busy greeted server minute seated wife vegan option side ofmore
augie's omelette & waffle,709 e 9th st," american, vegetarian friendly, vegan options",4.5,309,"we enjoyed brunch here on sat then came back for breakfast on sun. it was just down the block from our hotel, watson’s regency. everything was delicious, the service was great, and our three year old granddaughter enjoyed her meals too.",1.0,american,vegetarian friendly,vegan options,ocean city,nj," american, vegetarian friendly, vegan options we enjoyed brunch here on sat then came back for breakfast on sun. it was just down the block from our hotel, watson’s regency. everything was delicious, the service was great, and our three year old granddaughter enjoyed her meals too.",1390.5,american vegetarian friendly vegan option enjoyed brunch sat came back breakfast sun block hotel watson regency everything delicious service great three year old granddaughter enjoyed meal
j prime steakhouse,1401 north loop 1604 w," american, steakhouse, vegetarian friendly",4.5,309,outstanding steak house!  food was excellent and the service / ambiance was better.  these folks a real gem in midst of all the chains.,3.0,american,steakhouse,vegetarian friendly,san antonio,tx," american, steakhouse, vegetarian friendly outstanding steak house!  food was excellent and the service / ambiance was better.  these folks a real gem in midst of all the chains.",1390.5,american steakhouse vegetarian friendly outstanding steak house food excellent service ambiance better folk real gem midst chain
whiskey cake,3225 regent blvd," american, bar, vegetarian friendly",4.0,90,"this was the 2nd time we ate at this location. the first time was awesome. this time was pretty awful. the waiter was nice, but he was very busy. our cauliflower soup was lukewarm at best, even though we sent it back because it was...more",2.0,american,bar,vegetarian friendly,irving,tx," american, bar, vegetarian friendly this was the 2nd time we ate at this location. the first time was awesome. this time was pretty awful. the waiter was nice, but he was very busy. our cauliflower soup was lukewarm at best, even though we sent it back because it was...more",360.0,american bar vegetarian friendly nd time ate location first time awesome time pretty awful waiter nice busy cauliflower soup lukewarm best even though sent back wasmore
